frame_id,timestamp_ms,x_cam,y_cam,z_cam,x_world,y_world,z_world,conf,detected
294,9809,-1.7882,-0.0840,10.1470,9.8145,1.7887,-1.1931,0.767,1
295,9843,-1.7551,-0.0840,10.1488,9.8172,1.7543,-1.1938,0.764,1
296,9876,-1.7553,-0.0840,10.1501,9.8201,1.7350,-1.1945,0.765,1
297,9909,-1.7038,-0.0840,10.1524,9.8234,1.7041,-1.1953,0.767,1
298,9943,-1.6635,-0.0840,10.1550,9.8270,1.6691,-1.1962,0.766,1
299,9976,-1.6269,-0.0840,10.1578,9.8306,1.6328,-1.1972,0.768,1
300,10010,-1.5830,-0.0840,10.1609,9.8343,1.5925,-1.1982,0.764,1
301,10043,-1.5834,-0.0840,10.1632,9.8376,1.5687,-1.1990,0.765,1
302,10076,-1.5462,-0.0801,10.1372,9.8282,1.5408,-1.1983,0.762,1
303,10110,-1.4662,-0.0799,10.1194,9.8135,1.4909,-1.1957,0.768,1
304,10143,-1.4278,-0.0798,10.1068,9.7977,1.4430,-1.1924,0.768,1
305,10176,-1.3826,-0.0797,10.0983,9.7835,1.3945,-1.1892,0.765,1
306,10210,-1.3818,-0.0796,10.0919,9.7717,1.3654,-1.1864,0.766,1
307,10243,-1.3301,-0.0796,10.0880,9.7631,1.3284,-1.1842,0.766,1
308,10276,-1.2897,-0.0795,10.0859,9.7575,1.2901,-1.1828,0.765,1
309,10310,-1.2495,-0.0795,10.0850,9.7546,1.2509,-1.1820,0.762,1
310,10343,-1.1550,-0.0794,10.0859,9.7542,1.1875,-1.1818,0.768,1
311,10377,-1.1551,-0.0794,10.0865,9.7553,1.1478,-1.1820,0.770,1
312,10410,-1.0681,-0.0650,10.0884,9.7560,1.0884,-1.1887,0.768,1
313,10443,-1.0066,-0.0650,10.0907,9.7581,1.0257,-1.1938,0.771,1
314,10477,-0.9597,-0.0650,10.0931,9.7609,0.9676,-1.1976,0.772,1
315,10510,-0.9092,-0.0650,10.0956,9.7642,0.9118,-1.2003,0.770,1
316,10543,-0.9093,-0.0650,10.0974,9.7673,0.8801,-1.2020,0.772,1
